attitude,title,description
neutral,Trudeau plans on stacking Senate before retiring: source,"Prime Minister Justin Trudeau is planning a final wave of appointments to fill the 10 vacancies in the Senate before he retires in March, Radio-Canada has learn..."
negative,Race begins to replace Canadian PM Trudeau,"The race to be Canadian Prime Minister Justin Trudeau's successor kicked off on Tuesday, a day after he resigned amid a looming trade war with the United States..."
neutral,Trudeau has prorogued Parliament. Here’s what that means - National,Prime Minister Justin Trudeau said Gov. Gen. Mary Simon has agreed with his request to prorogue Parliament until March 24 as the Liberals hold a contest to repl...
neutral,Trudeau tells Canadians to ‘put our politics aside’ in Christmas message - National,Prime Minister Justin Trudeau struck a conciliatory and hopeful tone in his annual Christmas message as he faces growing calls to resign and questions about his...
negative,Trudeau Dancing as Antisemites Burn Down Montreal,"Demonstrators set vehicles on fire, vandalized property, and burned an effigy of Prime Minister Benjamin Netanyahu."
negative,"Justin Trudeau Says 'Made Mistakes' On Immigration, Plans Big Change","In a recent video message, Trudeau stated that Canada's population has grown rapidly over the past two years, but this growth has also been accompanied by explo..."
neutral,Potential scenarios for Prime Minister Justin Trudeau and the Liberals,"The Liberal government was thrown into disarray this week when Chrystia Freeland stepped down from cabinet as finance minister, reviving calls for Prime Ministe..."
negative,Canada’s Trudeau faces increasing pressure from his own MPs to quit,"“There is no alternative but to have the leadership change now,” says Liberal party legislator Chandra Arya."
negative,"Go woke, go broke: How Justin Trudeau lost his mojo","Rest of World News: Explore the rise and fall of Justin Trudeau, examining his early success, missteps, and the impact of economic challenges on his political l..."
negative,Ontario Liberal MPs want Justin Trudeau to step down: sources,"At a virtual meeting of the Ontario Liberal caucus on Saturday morning, more than 50 Liberal MPs came to a consensus that Prime Minister Justin Trudeau needs to..."
neutral,Trudeau noncommittal on expanding rebate beyond 'working Canadians',"Prime Minister Justin Trudeau does not appear willing to budge on his plan to send a $250 rebate to 'hardworking Canadians,' despite pressure from the oppositio..."
negative,Poilievre says RCMP covered up Trudeau-era scandals,"Breaking News, Sports, Manitoba, Canada"
negative,"Internal battles, public anger and party conflict: The downfall of Justin Trudeau","When Canadian Prime Minister Justin Trudeau was catapulted to power in 2015, he was regarded as a fresh face who could bring positive change. Now, his approval ..."
neutral,Former Trudeau ally Freeland enters race to be Canada PM,"Canada's former deputy prime minister Chrystia Freeland launched her campaign Sunday to replace Justin Trudeau as Liberal Party leader and prime minister, pitch..."
negative,‘Proud Feminist’ Trudeau Accused of Sexism in Rift with Ex-Trade Minister,Canadian Prime Minister Justin Trudeau is accused of sexism after scapegoating trade minister Chrystia Freeland and forcing her to resign.
negative,Justin Trudeau faces leadership test as deputy PM Chrystia Freeland resigns,"Chrystia Freeland, who is also finance minister, left cabinet on Monday after clashing with Mr Trudeau on issues including how to handle possible Trump tariffs."
neutral,Trudeau shuffling fresh faces into cabinet today to fill vacancies,Prime Minister Justin Trudeau is shuffling his cabinet this morning. He is expected to make several changes to his ministerial roster in a bid to inject some st...
neutral,Trudeau to make first public remark following Freeland's resignation,"Chrystia Freeland, Canada's finance minister, said in an explosive letter published Monday morning that she will quit cabinet. Follow along for live updates."
negative,Trudeau tried to exorcise family ghosts out west. His own spectre may linger,"Early on, the Liberal leader made a surprising breakthrough in the heart of conservative oil country. But he also triggered fresh bitterness with his climate po..."
neutral,Trudeau makes his case to Canadians in year-end interview with comedian Mark Critch,"Through laughs and jokes, Prime Minister Justin Trudeau attempted to make his case to take the Liberals into the next election."
negative,Amy Hamm: Trudeau condemns us to Wacko purgatory,Poilievre’s video was timed for the election Canadians want but won’t get
negative,Atlantic Liberal Caucus calls for Trudeau to step down as leader,"Following an Atlantic Liberal Caucus meeting the morning of December 23, caucus chair Kody Blois wrote a letter to Trudeau calling for him to resign as party le..."
negative,"Trudeau less likely to remain leader since Freeland quit, Gerald Butts says",Butts says Chrystia Freeland's resignation dealt Trudeau a staggering blow that loosened his already tenuous grip on the party.
negative,Letters: Trudeau and his Liberals hang on for dear life,Letter writers discuss this week's chaos in Ottawa
neutral,13 Trudeau-era ministers survive Carney's cabinet overhaul,"When Prime Minister Mark Carney unveiled his new cabinet this week, there were 15 fresh faces among the group. There were also 13 who had served in the previous..."
negative,This could finally be the end of Justin Trudeau,He's in freefall
negative,Trudeau teeters in Canada after deputy’s scathing resignation,"Even before the deputy shocked the country with her letter, Prime Minister Justin Trudeau’s grasp on power already appeared to be slipping."
negative,André Pratte: The Trudeau-Carney era’s catastrophic mismanagement,The Liberals have been gravely irresponsible with public finances
negative,Canadian Finance Minister resigns as Trudeau government's popularity flounders,"Canadian Finance Minister Chrystia Freeland announced her resignation from Justin Trudeau's Cabinet on Monday, a powerful blow to the Liberal Prime Minister's h..."
negative,FIRST READING: The last time Canada had a Trudeau who refused to leave,The elder Trudeau also stayed on until virtually the entire country despised him.
negative,Singh says NDP will vote to bring down Trudeau government,NDP Leader Jagmeet Singh says his party will bring forward a motion of non-confidence to bring down the Trudeau government in the next sitting of the House of C...
neutral,Trudeau set to shuffle his cabinet Friday after a tumultuous week: sources,"Prime Minister Justin Trudeau will shuffle his cabinet Friday, multiple sources have told CBC News. He's got big gaps to fill on his front bench after a spate o..."
negative,"""Time For You To Step Aside"": Canada MP's Letter To Justin Trudeau",Canadian MP Chandra Arya has added to the uncertainty of the future of Prime Minister Justin Trudeau's leadership in the country as he said that he believes it ...
negative,FIRST READING: How far Trudeau could go in clinging to power,"In an extreme case, he prorogues parliament and walls himself up in the PMO until the federal government goes broke"
negative,"Amid calls of resignation, Canada PM Justin Trudeau reshuffles cabinet","Rest of World News: Facing internal dissent and mounting political pressure, Canadian Prime Minister Justin Trudeau reshuffled his cabinet on Friday. This move ..."
negative,"After days of tumult, what’s next for Trudeau? His options, explained - National",The Liberal government has been thrown in disarray by Chrystia Freeland's sudden resignation from cabinet. Here's what Prime Minister Justin Trudeau's options l...
neutral,Trudeau taps Dominic LeBlanc to serve as finance minister after Chrystia Freeland's shock resignation,"After Chrystia Freeland's shocking resignation as finance minister, Public Safety Minister Dominic LeBlanc was sworn in Monday to replace her as Prime Minister..."
positive,"Harper and Trudeau share laughs, and other lighter throne speech moments","Despite the pomp and circumstance surrounding the speech from the throne, the moments leading up to it were all but formal."
neutral,How much has Prime Minister Justin Trudeau changed Canada? The reviews are mixed,"As Trudeau prepares to step down, CBC's The House spoke to experts and analysts about the legacy he leaves behind — and whether Trudeau's transformation of Ca..."
positive,"Does Trudeau have the confidence of his cabinet? ‘Yes,’ says LeBlanc - National",Finance Minister Dominic LeBlanc was also asked if he would consider an opportunity to lead the country if he were given the chance.
negative,Kelly McParland: Singh pays the price for protecting Trudeau,NDP is cratering in the polls
neutral,Michael Higgins: Liberal caucus submits to Carney as it did to Trudeau,MPs too afraid to adopt Reform Act rules
negative,What the future might hold for PM Justin Trudeau and the Liberals,"The Liberal government was thrown into disarray this week when Chrystia Freeland stepped down from cabinet as finance minister, reviving calls for Prime Ministe..."
neutral,Justin Trudeau won’t run for re-election as MP in next federal election,"Justin Trudeau has held the seat of Papineau since 2008 and was named leader of the Liberal Party in 2013, before becoming prime minister in 2015."
negative,Canada: Justin Trudeau Is In A Mess Of His Own Making,"In a faux pas and an ill-timed decision, Canadian Prime Minister Justin Trudeaus move to shuffle Chrystia Freeland out of her Finance Minister role has resulted..."
negative,Chrystia Freeland quits cabinet and slags Trudeau for 'costly political gimmicks',"In a resignation letter posted to social media, she said Prime Minister Justin Trudeau offered her another role in cabinet on Friday, but that the only ""honest ..."
negative,Can Trudeau survive Freeland's resignation?,"A scathing resignation letter has triggered an unprecedented leadership crisis for Prime Minister Justin Trudeau. What triggered it, and can he hang on as leade..."
positive,Trudeau jokes that Liberal party is like a family that ‘fights around the holidays’,"With his political world seemingly crumbling around him, Justin Trudeau proved that one thing is still intact — his sense of humour. In the midst of high-prof..."
negative,"Poilievre blasts ‘despicable’ RCMP leadership, accuses Mounties of covering up for Trudeau","Conservative Leader Pierre Poilievre took aim at the RCMP’s independence in a recent interview, calling the national police force’s ""despicable"" leadership ..."
negative,"Freeland's letter didn't mention gender, but Trudeau faces 'phony feminism' attacks anyway",Prime Minister Justin Trudeau's working relationships with women have been part of the conversation around his politics for more than a decade. After Chrystia F...
negative,Trudeau finally addresses Freeland's shocking resignation. Here's what Canada's PM said,Tuesday’s speech was the first time Trudeau has said anything publicly about Chrystia Freeland's shocking resignation.
negative,NP View: Canada's worst ever finance minister — Justin Trudeau,"It doesn't matter who the actual minister is, the prime minister controls all"
negative,Canada: Trudeau looks set to lose power after key ally vows to topple him,OTTAWA: Canadian Prime Minister Justin Trudeau on Friday looked set to lose power early next year after a key ally said he would move to bring down the minority...
neutral,"Trudeau appoints new senators for Nova Scotia, Nunavut",Prime Minister Justin Trudeau appointed two new senators on Thursday — Allister Surette for Nova Scotia and Nancy Karetak-Lindell for Nunavut.
neutral,Carney to succeed Trudeau as Canadian PM,"Mark Carney, a former central banker and governor of both the Bank of Canada and the Bank of England, has been elected as the new leader of Canada’s Liberal P..."
neutral,Canada: ‘Aggressive Populist’ Pierre Poilievre Seeks Prime Ministership After Trudeau Exit,Canadian Conservative Party leader Pierre Poilievre began a campaign to hold a general election in the country as soon as possible.
positive,Trudeau warns Poilievre against amplifying 'erroneous narratives' about Canada-U.S. border,"In a meeting with opposition leaders Trudeau warned the Tory over amplifying ""erroneous narratives"" he says Americans have about the border"
positive,Trudeau to announce $20B in child care deals with 10 provinces and territories,Prime Minister Justin Trudeau will announce that his government has signed agreements totalling almost $20 billion over five years with 10 provinces and territ...
neutral,Poilievre still wants to run against Trudeau,"Days before the byelection, Poilievre announced plans to mount a campaign against the last vestiges of the Trudeau government’s climate policy — the zero-..."
positive,The Montreal riding Trudeau held for 16 years reflects on his legacy,"With Justin Trudeau set to resign as Canada's prime minister, people in the Montreal riding of Papineau, which he has held since the fall of 2008, reflect on th..."
neutral,Race Begins To Replace Canada's Justin Trudeau,"The race to be Canadian Prime Minister Justin Trudeau's successor kicked off on Tuesday, a day after he resigned amid a looming trade war with the United States..."
positive,Trudeau defends Canada's carbon tax and says it is being battered by misinformation,Prime Minister Justin Trudeau made the remarks at the G20 and added the tax is among the world's strongest but
neutral,Former Bank of Canada governor Carney enters race to replace Trudeau By Reuters,Former Bank of Canada governor Carney enters race to replace Trudeau
negative,Canada's PM Justin Trudeau faces ‘difficult’ leadership crisis,Follow the latest news headlines from Australia's most trusted source. Read in-depth expert analysis and watch live coverage on ABC News.
neutral,Trudeau stakes out high ground on climate with cabinet shuffle,"Friday’s cabinet shuffle is widely seen as an attempt by Trudeau to plug the holes before the Liberal ship capsizes, but nonetheless there are positive signal..."
negative,Canada's finance minister quits over Trump tariff dispute with Trudeau,Chrystia Freeland says Canada faces a
negative,Trudeau to cut sales tax and send checks to millions of Canadians as election looms,Canadian Prime Minister Justin Trudeau 's government announced plans Thursday to temporarily lift the federal sales tax off a number of items and send checks to...
neutral,Granny Manuel’s wedding gift to Margaret and Pierre Trudeau comes full circle,"This was a call Tara Manuel didn’t see coming. The Corner Brook woman was recently reunited with a letter written by her grandmother decades ago, and a gift G..."
negative,Opposition parties slam Trudeau cabinet's future appointments to government agencies,"Opposition MPs are criticizing 88 future appointments made by former prime minister Justin Trudeau's government, some calling for Prime Minister Mark Carney to ..."
neutral,Mark Carney wins race to replace Trudeau as Canada’s PM,Former central banker Mark Carney has won the race to become leader of Canada’s ruling Liberal Party and will succeed Justin Trudeau as prime minister. Carney...
negative,Trudeau weighs his options as his path to stay on as prime minister narrows,Prime Minister Justin Trudeau is considering his options after Chrystia Freeland’s bombshell resignation Monday heightened calls for him to step down. Freelan...
positive,Trudeau proposes way forward on 24 Sussex problem during final days in power,"As Prime Minister Justin Trudeau prepares to leave office, CBC News has learned that one of his final acts is an attempt to settle the problem of 24 Sussex Driv..."
negative,Terry Newman: Trudeau to Canada — starve your kids for climate change,Forgive us if we put feeding and housing our families above Trudeau's plans to save the entire planet
negative,Trudeau set to shuffle his cabinet after chaotic week for Liberals - National,A cabinet shuffle is expected on Friday capping off a chaotic week for Prime Minister Justin Trudeau and the Liberals that saw two ministers step down.
neutral,"Poilievre defends RCMP comments, denies saying Trudeau should be in jail - National","On Wednesday, Poilievre said he thinks there were some scandals during Trudeau's time in office that should have resulted in criminal charges."
negative,"FIRST READING: Harper unloads on Trudeau, Trump in uncharacteristic interview","Until this moment, the ex-prime minister has been quite judicious about avoiding public criticism of his successor"
negative,Most Canadians now want early election as Trudeau support drops again: poll - National,Ipsos polling done exclusively for Global News was released Friday and shows over half of Canadians believe there should be an early election.
negative,Trudeau contemplates his future as the path narrows for him to remain prime minister,"Trudeau's decision to demote Chrystia Freeland appears to have backfired spectacularly, igniting a chorus of calls for him to resign, including from several Lib..."
