attitude,title,description
neutral,Trudeau in Florida to meet with Donald Trump in wake of tariff threat,"Prime Minister Justin Trudeau is in Palm Beach, Fla., to meet with U.S. president-elect Donald Trump."
negative,Terry Newman: What Justin Trudeau isn't saying,"During tariff crisis, Canadians needed more information from the prime minister"
negative,"""Such An Insufferable Tool"": Musk Slams Trudeau Over His Jab At Trump",Elon Musk's reaction came after Justin Trudeau said Kamala Harris's loss in the US presidential election was a setback for women's progress.
neutral,"Trump Issues Christmas Message to 'Wonderful Soldiers of China,' 'Governor' Trudeau","President-elect Donald Trump issued a Christmas message to the ""wonderful soldiers of China"" who are ""illegally, operating the Panama Canal."""
neutral,Trump calls Florida meeting with Trudeau productive amid stiff tariff threat,WASHINGTON — President-elect Donald Trump called his meeting with Justin Trudeau productive and says the prime minister made a commitment to work with the Uni...
negative,Trump takes aim at Canada and Prime Minister Justin Trudeau,"President-elect Donald Trump this week once again issued several taunts directed at America's largest trading partner, Canada, and Justin Trudeau, its prime min..."
negative,"Major Reshuffle As Justin Trudeau Faces Party Pressure, Tensions With Trump","Canadian Prime Minister Justin Trudeau on Friday shook up his cabinet, changing one-third of his team as political turmoil threatens his leadership and tensions..."
positive,Trudeau: Canada Ready for US Tariffs,Trudeau noted that he had met with the Premiers and the Cabinet to discuss the matter
positive,"Trudeau Slaps 25% Tariffs On US, Calls Trump's Trade War ""Dumb Thing To Do""","On Tuesday, speaking from Parliament Hill, Trudeau criticised US President Donald Trump's decision, saying that tariffs are a"
neutral,Trudeau to announce Canada's response to Trump trade war,The North American trade war of 2025 has officially begun with Canada hitting back against the U.S. after President Donald Trump imposed punishing 25 per cent t...
neutral,Why Trump Joked About Making Canada '51st US State' During Trudeau Meet,"US President-elect Donal Trump, during his last week's meeting with Canadian Prime Minister Justin Trudeau, reportedly joked about making Canada the 51st state ..."
negative,Trudeau attends U.S. trade meeting as MPs call for him to resign,Trump promised to enact 25 per cent tariffs on Canadian and Mexican imports unless both countries meet his demand to beef up security at the American border.
neutral,"Trudeau has confrontational call with Trump over tariffs, but no deal yet",Trudeau and Trump spoke by phone Wednesday for around 50 minutes. The Wall Street Journal reported the call grew heated and included profanity.
neutral,Justin Trudeau Meets Donald Trump In Florida As Tariff Threats Loom,Justin Trudeau had an
positive,U.S. President Biden says 'the world is better off' because of Trudeau,"U.S. President Joe Biden thanked Prime Minister Justin Trudeau on Tuesday, calling him a 'friend,' and adding 'the world is better off because of him.'"
negative,Trump's fresh 51st state nudge as Justin Trudeau faces trouble: 'Many Canadians want...',"US News:  While the 51st state was a dinner table joke supposed to stay at Mar-a-Lago, it did not as it was widely reported and Trump too publicized it. MAGA s"
neutral,"Trudeau talks border, trade in surprise dinner with Trump at Mar-a-Lago",Prime Minister Justin Trudeau discussed border security and trade during a surprise dinner with U.S.-president elect Donald Trump at Mar-a-Lago in West Palm Bea...
negative,Trump responds to Trudeau resignation by suggesting Canada merge with U.S.,Prime Minister Justin Trudeau's resignation as Liberal leader comes just two weeks before Donald Trump takes office as U.S. president while threatening to impos...
positive,"US Says Justin Trudeau Has Been America's ""Stalwart Friend""","The White House said on Monday that Canadian Prime Minister Justin Trudeau, who announced that he will step down in the coming months after nine years in power,..."
negative,Trudeau reduced to tears after ‘colourful’ phone call with Trump over tariffs,"Justin Trudeau was reduced to tears at a press conference on Thursday night, after reports of a profanity-laden phone call with Donald Trump."
negative,Michael Higgins: Divisive Justin Trudeau is at it again,"Rather than emphasizing what he and Premier Danielle Smith agree on regarding Trump's tariff threats, the PM plays up their differences"
neutral,Trudeau calls meeting with premiers to take ‘Team Canada’ approach to Trump tariffs,OTTAWA — Prime Minister Justin Trudeau says he’ll call a meeting with premiers to take a ‘Team Canada’ response to Donald Trump’s threat of imposing h...
neutral,Trudeau calls conversation with Trump 'excellent' after meeting in Florida,"Trump, in his first term as president, called Trudeau ""weak"" and ""dishonest,"" yet Trudeau was the first G7 leader to visit him since Nov. 5."
neutral,"Trump’s Threat to Annex Canada: A Real Concern, Says Trudeau",Canadian Prime Minister Justin Trudeau views Donald Trump's threat to annex Canada as a serious issue. Trudeau made these comments
neutral,Trudeau asks Indigenous leaders in Canada for help standing up to Trump,National Indigenous leaders in Canada say the prime minister is asking them to lobby their counterparts in the United States as part of the pushback against pre...
negative,Jesse Kline: Trudeau chooses weakness in face of Trump tariffs,Liberals have had months to prepare and have done almost nothing
neutral,"Trudeau asked Trump for California, Vermont to curb annexation talks","Justin Trudeau says U.S. president-elect Donald Trump kicked the tires on the potential annexation of Canada during their recent meeting in Florida, but the top..."
positive,Canada's Trudeau vows immediate & strong response to Trump's 'unjustified tariffs',US News: Canadian Prime Minister Justin Trudeau has pledged a strong response to US President Donald Trump's plan to impose tariffs on Canadian imports startin
neutral,Trudeau says Trump’s 51st state talk distracts from cost tariffs will bring - National,"In an interview with CNN, Trudeau pushed back again on the idea of Canada becoming part of the U.S., which Trump has continued to push in comments to media."
negative,Donald Trump Heard Mocking Justin Trudeau on Gaza Hot Mic,"A joking exchange between President Donald Trump and Canadian Prime Minister Mark Carney was caught on a hot mic during a summit of world leaders in Egypt,…"
neutral,Trudeau urges U.S. consumers to consider the harm of Trump's tariff threats,Canada's outgoing Prime Minister Justin Trudeau on Sunday suggested that President-elect Donald Trump's remarks about Canada becoming America's “51st state”...
negative,Trump and Trudeau trade insults as US tariffs kick in,"US President Donald Trump and Canadian Prime Minister Justin Trudeau have traded insults as new US tariffs on imports from Canada, Mexico and China kick in.  ?..."
neutral,Trudeau launches Canada-U.S. council as Trump's tariff threats loom,Outgoing Canadian Prime Minister Justin Trudeau announced Thursday the formation of a Canada-U.S. relations council to support the federal government as it deal...
neutral,"Justin Trudeau, Donald Trump meet in Florida amid tariff threats - National",Justin Trudeau flew to Florida Friday to have dinner with Donald Trump at his Mar-a-Lago club after Trump threatened to impose sweeping tariffs on Canadian prod...
neutral,Trudeau set to meet with Canadian premiers amid Trump tariff threat,Ontario Premier Doug Ford's office said on Tuesday that a virtual meeting of the country's premiers would take place with Trudeau on Wednesday afternoon.
negative,Trudeau says Canada 'ready' for Trump tariffs as ministers make final push in D.C.,"Prime Minister Justin Trudeau says Canada is ready to deliver a ""purposeful, forceful but reasonable, immediate"" response if U.S. President Donald Trump imposes..."
negative,"Larry Kudlow: Trudeau ""betrayed"" Trump at G7, ""should have known better""",On
positive,Trump is open to using 'economic force' to acquire Canada; Trudeau responds,"Prime Minister Justin Trudeau said 'there isn’t a snowball’s chance in hell that Canada would become part of the United States,' on the same day U.S. presid..."
positive,Canada must not ‘freak out’ over Trump’s tariff threat – Trudeau,The President-elect has threatened Ottawa with 25% tariffs on imports unless it tightens border security
negative,To Governor Justin Trudeau of Canada': Trump's Christmas message,
positive,Trudeau says he 'had a good call' with Trump about tariffs,"Canadian Prime Minister Justin Trudeau said he ""had a good call” with President-elect Donald Trump following his new announcement of a 25% tariff on items fro..."
negative,Raymond J. de Souza: Trudeau makes everyone's skin crawl,No more hugs for the prime minister
positive,"""Neighbour Helping Neighbor"": Trudeau Sends Aid To Fight Los Angeles Fire",Canadian Prime Minister Justin Trudeau has sent firefighting resources to California as the state grapples with devastating wildfires. This comes despite the on...
neutral,"BREAKING: Trudeau meeting with Trump, cabinet nominees at Mar-a-Lago",Trump has threatened to impose a 25-per-cent tariff on goods entering from Canada and Mexico unless his concerns about border security are fixed.
positive,Trudeau says Trump talk of annexing Canada is a distraction tactic,Canadian Prime Minister Justin Trudeau responds to U.S. President-elect Donald Trump's annexation talk as a distraction from tariffs.
positive,"Canada-U.S. summit to tackle interprovincial trade, exports: Trudeau - National","The Prime Minister's Office says the event will assemble Canadian trade and business leaders, along with organized labour, to discuss strategies to grow the eco..."
neutral,"Tariffs: Trudeau must ‘reassure’ Donald Trump with a plan, says Legault",
negative,Trump renews his offer of making Canada 51st state of U.S. after Trudeau resigns,"U.S. President-elect Donald Trump renews offer to make Canada the 51st state, sparking controversy and uncertainty in Canada."
neutral,U.S. President Donald Trump is dead serious about a takeover of Canada: Trudeau,"The prime minister said the Trump administration knows what critical minerals Canada has and ""that may be even why they keep talking about absorbing us and maki..."
positive,Trump Reveals He Had 'Productive Meeting' with Trudeau at Mar-a-Lago,"President-elect Donald Trump revealed that he had a ""very productive meeting"" with Canadian Prime Minister Justin Trudeau at Mar-a-Lago."
positive,"Trump pauses tariffs on Canada for at least 30 days, Trudeau says",Trump agreed to delay tariffs on Canada and Mexico after their leaders agreed to measures to stop the flow of the opioid fentanyl into the United States.
neutral,Canada is not a given' says Trudeau in farewell speech touching on Trump threats,"Prime Minister Justin Trudeau said that freedom, democracy and Canada ""are not a given"" in his farewell speech to Liberals just before former Bank of Canada gov..."
positive,‘Nothing is off the table’: Trudeau on US tariff threats,Rest of World News: Canada will consider every kind of countermeasure if US President-elect Trump goes ahead with a threat to impose a 25% tariff on Canadian im...
positive,Trudeau blasts Trump's 'very dumb' trade war,"Retaliatory measures have been announced by America's largest trading partners following Trump's tariffs on Canada, Mexico and China"
neutral,"Justin Trudeau to shuffle his cabinet ahead of Trump presidency, election year",OTTAWA — Prime Minister Justin Trudeau will shuffle his cabinet later this morning at Rideau Hall to shore up his beleaguered government. His Liberals are ree...
positive,Trudeau highlights Kamala Harris presidential defeat as an attack on women’s progress,"Breaking News, Sports, Manitoba, Canada"
positive,Canada is fighting back against a 'dumb' trade war: PM Justin Trudeau,"He said Canada is immediately introducing 25 per cent retaliatory tariffs on $30 billion worth of American products, and will expand them to cover another $125 ..."
neutral,Trudeau set to meet with premiers on Trump tariff threat - National,The in-person meeting in Ottawa comes less than a week before U.S. president-elect Donald Trump takes office for a second non-consecutive term on Jan. 20.
neutral,Trudeau warns Vance about impact of U.S. steel and aluminum tariffs,"Prime Minister Justin Trudeau warned U.S. Vice-President J.D. Vance that punishing tariffs on Canadian steel and aluminum will hurt his home state Ohio, a senio..."
neutral,Trudeau says Trump will pause tariffs on Canada for 30 days,Prime Minister Justin Trudeau says President Trump has agreed to pause tariffs on Canada for 30 days. NBC News White House Correspondent Yamiche Alcindor report...
negative,Trump's tariff threat is testing both Justin Trudeau and Pierre Poilievre,"The singular nature of the U.S. president-elect is now testing both Justin Trudeau and Pierre Poilievre, who are responding in their own particular ways."
neutral,Trudeau says Canada must think ‘tactically and strategically' on dealing with Trump's tariff threats,"Trudeau addresses Canada's response to Trump's tariff threats, emphasizing strategic thinking and cooperation with the U.S. in 30-day extension."
positive,Justin Trudeau Says Trump Talk Of Annexing Canada Is A Distraction Tactic,Canadian Prime Minister Justin Trudeau on Wednesday said U.S. President-elect Donald Trump's talk of possibly annexing Canada was a tactic designed to distract ...
neutral,"Trump Questions US-Canada Border Validity, Floats 1908 Treaty Revisions In Talks With Trudeau",
neutral,Trudeau shuts down NDP proposal to bar Trump from G7 summit,Prime Minister Justin Trudeau is rejecting NDP Leader Jagmeet Singh's proposal to bar Donald Trump from attending the G7 summit taking place this spring in Cana...
neutral,BREAKING Trudeau meeting with Trump tonight in Mar-a-Lago: source,Trump has threatened to impose a 25-per-cent tariff on goods entering from Canada and Mexico unless his concerns about border security are fixed.
positive,"Canada Will Resist US Steel Tariffs ""Strongly And Firmly"": Justin Trudeau","Canadian Prime Minister Justin Trudeau said on Tuesday that his country will ""resist"" any US tariffs on steel, announced by President Donald Trump."
positive,Trudeau slams Trump for starting a trade war with Canada while appeasing Putin,Trudeau said that Canada would plaster retaliatory tariffs on more than $100 billion of American goods in response to Trump's 25% tariffs
positive,Trump's tariffs are 'unjustified' and Canada will respond: Trudeau,"In a news release late Monday, Trudeau said if U.S. tariffs come into effect as Trump planned, Canada will respond with 25 per cent tariffs on $155 billion wort..."
negative,Trump taunts Trudeau by calling him 'governor' and Canada 'a great state',"President-elect Donald Trump took a jab at Prime Minister Justin Trudeau on Tuesday, calling him a ""governor"" and referring to Canada as a ""great state,"" yet a..."
positive,Prices for Americans will go up': Trudeau warns Trump over tariff threat,Rest of World News: Canadian Prime Minister Justin Trudeau warned that American consumers will face higher prices if President Donald Trump imposes sweeping tar...
positive,Trudeau highlights Kamala Harris presidential defeat as an attack on women’s progress,"Prime Minister Justin Trudeau says women's rights and women's progress is under attack, pointing to the recent defeat of U.S. presidential candidate Kamala Harr..."
neutral,Trudeau congratulates Trump as cabinet meets to discuss next steps,Prime Minister Justin Trudeau praised Canada's
positive,Trudeau urges US consumers to consider harm of Trump's tariff threats,Vancouver: Canada's outgoing Prime Minister Justin Trudeau on Sunday suggested that US President-elect Donald Trump's remarks about Canada becoming America's
neutral,Trudeau in Florida to meet Trump amid tensions over tariff threats,Canadian Prime Minister Justin Trudeau arrived in Florida on Friday for a dinner with President-elect Donald Trump at his Mar-a-Lago estate. The unnannounced me...
positive,Trudeau says ‘no question’ Trump is serious on tariff threat - National,"One of the things that is really important to understand is that Donald Trump, when he makes statements like that, he plans on carrying them out,'  Justin Trud..."
negative,"Trump Taunts Trudeau: ‘Tariffs Won’t Save You, Justin!’","President Trump mocks Canadian PM Justin Trudeau, accusing him of using tariffs as an excuse to stay in power. “Good luck, Justin!” Trump writes."
positive,"Kamala Harris's presidential defeat was an attack on women’s progress, Trudeau says","It shouldn't be that way. It wasn't supposed to be that way,' Trudeau said at an event Tuesday, adding he is a proud feminist"
positive,‘A very dumb thing to do’: Trudeau calls out Trump on tariffs,"Speaking on the implementation of new U.S. tariffs, Canadian Prime Minister Justin Trudeau addressed President Trump directly, calling the tariffs ‘a very dum..."
positive,Justin Trudeau Responds to Trump’s Tariff Threats: Canada Ready to Inflict Economic Pain,US News: Outgoing Canadian Prime Minister Justin Trudeau on Tuesday responded strongly to US President Donald Trump's tariff threats and said that Ottawa is wi.
positive,"Justin Trudeau tells Trump that tariffs are 'very dumb,' says Canada striking back",Prime Minister Justin Trudeau condemned U.S. President Donald Trump's new tariffs on Canadian imports as unjustified and retaliated with 25% tariffs on C$30 bil...
negative,Is Justin Trudeau Barron Trump’s ‘Secret Dad’? The Internet’s Favorite Conspiracy Theory is Back!,"The claim that former Prime Minister Justin Trudeau is the biological father of Barron Trump, however, is a persistent rumor..."
positive,"Amid faceoff with Trump, Trudeau dials California governor over LA wildfires",US News: Canadian Prime Minister Justin Trudeau reassured California Governor Gavin Newsom of Canada's support amid wildfires that have killed 11 people. Meanw
negative,"Trudeau cannot live in denial about U.S. border, tariff situation: Legault","“We have to reassure Mr. Trump” about border security before 25% tariffs on Canadian goods are imposed, Quebec Premier François Legault says."
positive,"Canada's Trudeau slaps 25% tariff on US imports, calls Trump’s trade war ‘very dumb’",Rest of World News: Canadian Prime Minister Justin Trudeau declared on Tuesday that Canada will not back down in its escalating trade war with the United States...
neutral,Report: Trudeau Meets with Trump in Palm Beach After Huge Tariff Threat,Justin Trudeau's visit comes after Trump said he plans to impose a 25% tariff until Mexico and Canada stop the inflow of migrants and drugs.
negative,"Ex-Trump adviser says Canada in 'difficult position' amid tariff threat, Trudeau resignation","In the face of a potential tariff war, U.S. president-elect Donald Trump’s former national security adviser John Bolton says 'Canada is in a difficult positio..."
negative,"Trump mocks Justin Trudeau, calls him 'Governor of the great state of Canada'","Washington: US President-elect Donald Trump took a jab at Canadian Prime Minister Justin Trudeau on the social media platform Truth Social, describing him as th..."
negative,Trump Bullies Justin Trudeau Over Tariffs in Weird Rant,Donald Trump doubled down on the tariffs in a confusing reversal.
neutral,Premiers call for urgent meeting with Trudeau to discuss Canada-U.S. relations,Canada’s premiers say they want to meet with Prime Minister Justin Trudeau “as soon as possible” to discuss the Canada-U.S. relationship.
neutral,Trudeau says call with Trump was 'colourful' and warns trade war will continue for 'foreseeable future',"Prime Minister Justin Trudeau said Thursday that his phone call with U.S. President Donald Trump was ""colourful"" with moments of tension as the two hashed out h..."
negative,"Trudeau says US tariff war to drag on, Bessent calls him a 'numbskull'","OTTAWA (Reuters) -Canada will be in a trade war with the United States for the foreseeable future, Prime Minister Justin Trudeau said on Thursday, speaking shor..."
neutral,Canada PM Trudeau visits Florida to meet with Trump amid tariff threat,"Canadian Prime Minister Justin Trudeau visited Donald Trump's Florida resort on Friday to meet with the U.S. President-elect, days after Trump threatened to sla..."
negative,Trump’s Return Could Make Trudeau Look Smaller than Ever,Polls suggest the former president’s comeback won’t revive Liberal fortunes
neutral,Trump to Speak with Trudeau as U.S.-Canada Tariff War Looms,President Donald Trump will speak with Canadian Prime Minister Justin Trudeau on Monday afternoon before tariffs take effect Tuesday.
negative,"Trudeau using tariff issue to ‘run again for PM,’ claims Trump: ‘Terrible job for Canada’",US News: The ongoing US-Canada trade dispute took a dramatic turn as President Donald Trump accused Canadian Prime Minister Justin Trudeau of using the tariff .
neutral,Trudeau travels to Florida in wake of Donald Trump's tariff threat,"Prime Minister Justin Trudeau's plane has landed at Palm Beach International Airport, which is used by Donald Trump when the U.S. president-elect travels to his..."
neutral,Canada PM Trudeau in Florida to meet Trump as tariff threats loom,"Biden warns that Trump’s tariff threats could “screw up” US's relationships with Ottawa, Mexico City."
positive,Trudeau appears on CNN to make case against tariffs to American audience,"For the first time since U.S. president-elect Donald Trump threatened hefty tariffs on Canadian goods, Prime Minister Justin Trudeau took his argument against t..."
