attitude,title,description
neutral,Justin Trudeau Attends Katy Perry Concert in Montreal,Justin Trudeau attended Katy Perry?s Montreal concert ? 2 days after being spotted having dinner and cozy drinks together.
neutral,Trudeau spotted at Katy Perry concert days Montreal date,"Justin Trudeau was spotted in the crowd at Katy Perry?s concert in Montreal, days after duo dined together in the city."
positive,Justin Trudeau & Katy Perry ?Value Connections? ? Report,Sources close to Katy Perry have claimed that the singer is currently 'in a great place' with respect to her romance with Justin Trudeau.
negative,Sophie Gr‚goire Trudeau: All about the estranged wife of former Canadian PM caught in the middle of Justin Trudeau-Katy Perry romance,"Canadian Prime Minister Justin Trudeau's rumored romance with Katy Perry is gaining traction, with the pair recently vacationing together. This comes"
positive,"Katy Perry & Justin Trudeau Click Really Well, Says ?Source?","Katy Perry and Justin Trudeau, who recently enjoyed a dinner night in Montreal, reportedly like ""chatting"" with one another."
neutral,Katy Perry Jokes About Englishmen Amid Justin Trudeau Romance,"Katy Perry seemingly teased her romance with Justin Trudeau during her London concert, joking about her history with Englishmen and moving on"
neutral,A timeline of Justin Trudeau and Katy Perry?s relationship,Former prime minister Justin Trudeau and pop star Katy Perry have been linked since this summer when they were spotted out together in Montreal. With a recent o...
neutral,Justin Trudeau Attends Katy Perry 'Lifetimes' Concert in Montreal,Justin Trudeau attended Katy Perry's 'Lifetimes Tour' in Montreal days after the two were spotted walking her dog and dining together
neutral,Katy Perry & Justin Trudeau Pack on PDA in the Pacific,Katy Perry and a topless Justin Trudeau were spotted getting hot and heavy after months of rumored romance.
negative,Trolls Have a Field Day over Trudeau-Perry Kiss,Netizens question both private integrity and public accountability of ex Canadian PM
neutral,Photo shows Justin Trudeau kissing Katy Perry on a yacht,"The former prime minister of Canada was seen kissing the Grammy-nominated pop star on her yacht off the coast of Santa Barbara, Calif."
neutral,Justin Trudeau Subtly References Katy Perry With Fintastic Halloween Costume,Justin Trudeau paid subtle homage to Katy Perry amid the pair?s growing romance with his Halloween costume?an inflatable shark.
neutral,Justin Trudeau Thirsts Over Katy Perry At Her Concert,"The internet is in a frenzy after seeing video footage of Justin Trudeau oogling Katy Perry at her ""Lifetimes Tour"" stop in Montreal July 30."
neutral,"Katy Perry, Justin Trudeau seen holding hands leaving Paris club",The pair's public appearance on the pop singer's 41st birthday has added fuel to growing speculation the two are in a relationship.
neutral,What We Know About The Katy Perry-Justin Trudeau Dating Rumors,Rumors the pop star and ex-Canadian prime minister are dating heated up in recent days after pictures surfaced of the pair kissing and Perry dropped possible hi...
neutral,Katy Perry ?Likes? Post Spoofing Her Romance With Justin Trudeau,Katy Perry dropped a 'like' on a parody post from 'The Onion' about her romance with former Canadian Prime Minister Justin Trudeau
neutral,Justin Trudeau Attends Katy Perry?s Lifetimes Tour Amid Dating Rumors,"Justin Trudeau attended Katy Perry?s ?Lifetimes Tour in Montreal, Canada on July 30. Trudeau also brought his daughter, ?Ella-Grace, to the concert."
positive,Katy Perry and Justin Trudeau Pack on PDA During Yacht Outing,Katy Perry and Justin Trudeau were spotted kissing and cuddling on a yacht near Santa Barbara following her split from Orlando Bloom in June
negative,Katy Perry & Justin Trudeau Don’t Share the Same Feelings — Source,Katy Perry is reportedly far more invested in her rumored romance with Justin Trudeau than the ex-Canadian prime minister is.
positive,Katy Perry & Justin Trudeau Take Next Big Step in Relationship — Source,Katy Perry and Justin Trudeau are reportedly planning to spend a romantic time together during the Christmas holiday.
positive,Katy Perry Subtly Debuts Justin Trudeau on Her Instagram,Katy Perry shared a clip celebrating her birthday on Instagram that features former Canadian Prime Minister Justin Trudeau.
positive,Justin Trudeau Is ‘Much Happier Now’ With Katy Perry — Source,Sources reportedly revealed that former Canadian Prime Minister Justin Trudeau's life has
neutral,"Katy Perry, Justin Trudeau Still Privately Seeing Each Other (Excl)","Katy Perry and former Canadian Prime Minister Justin Trudeau are still dating, multiple sources exclusively tell Us Weekly"
positive,Katy Perry and Justin Trudeau Have Dinner Date in Montreal,Katy Perry and former Canadian Prime Minister Justin Trudeau are both newly single and were spotted dining together at a posh Montreal restaurant.
positive,Watch Justin Trudeau Support Katy Perry at Her Concert After Their Date,Former Canadian Prime Minister Justin Trudeau was seen dancing at Katy Perry's concert after the two went on an intimate dinner date.
positive,Katy Perry and Justin Trudeau PDA session confirms romance rumors,Katy Perry and Justin Trudeau display romance with PDA aboard the singer's yacht Caravelle off the Santa Barbara coast in newly obtained photos.
positive,Katy Perry’s Cheeky Comment Suggests She May Be Engaged To Justin Trudeau,Katy Perry made an interesting comment to a fan suggesting she's in a romantic relationship with former Canadian prime minister Justin Trudeau.
negative,"Katy Perry Was ‘Scared’ to Date Justin Trudeau, Says Source","Justin Trudeau and Katy Perry are reportedly dating, and apparently, the singer was scared to date the politician, says a source."
positive,Katy Perry and Justin Trudeau Take Their Relationship Public,"After months of speculation, Katy Perry and Justin Trudeau make their relationship official with their first public outing as a couple."
neutral,Justin Trudeau attends Taylor Swift show in Toronto with family members,Prime Minister Justin Trudeau was among the fans checking out Taylor Swift's second-last Toronto show on Friday evening.
positive,Justin Trudeau 'Much Happier' In New Relationship With Katy Perry: Report,Recent reports indicate that former Canadian Prime Minister Justin Trudeau is in a new relationship with singer Katy Perry and is much happier as a result.
positive,Katy Perry and Justin Trudeau spark romance rumours,Pop star Katy Perry and former Canadian Prime Minister Justin Trudeau have reportedly developed an “instant connection”.
positive,Trudeau attends Taylor Swift concert in Toronto with family,"Prime Minister Justin Trudeau was spotted in the crowd at the Taylor Swift concert Friday in Toronto with his family, his office confirmed."
positive,Katy Perry & Justin Trudeau: Dinner date sparks romance speculation,"Justin Trudeau and Katy Perry were seen dining together at Montreal’s upscale Le Violon on July 28, 2025—sharing lobster, cocktails, and animated conversati..."
positive,Katy Perry's Dinner With Justin Trudeau Turns Heads,It would be one of the more unusual romantic pairings in a while.  TMZ  spotted Katy Perry having dinner with former Canadian Prime Minister Justin Trudeau at a...
positive,"Katy Perry, Justin Trudeau make 1st public appearance as a couple - National",The pop superstar and the former Canadian prime minister took their romance public as they left a Paris restaurant hand in hand while paparazzi waited for them ...
positive,Katy Perry Is 'Very Happy' Amid 'Low-Key' Romance With Justin Trudeau,Katy Perry and Justin Trudeau's romance heats up as sources say Perry is very happy and keeping the relationship low-key while on tour
positive,Katy Perry & Justin Trudeau Spending Time With Her Daughter — Source,"Katy Perry reportedly introduced Justin Trudeau to her daughter, Daisy Dove, after their romantic yacht getaway photos became viral."
negative,Former Canadian Prime Minister Justin Trudeau Mocked Relentlessly After Steamy Session With Katy Perry,The internet is taking aim at Canada's former prime minister Justin Trudeau after he was photographed with his arms wrapped around Katy Perry.
positive,Katy Perry and Justin Trudeau Kiss on the Singer's Yacht,Katy Perry and Justin Trudeau’s summer fling﻿ has survived the test of time and transformed into a fall romance.
positive,Katy Perry Holds Hands With Justin Trudeau on Paris Date for Birthday,Katy Perry was filmed holding hands with former Canadian Prime Minister Justin Trudeau in Paris following a romantic date for her 41st birthday
positive,Katy Perry confirms Justin Trudeau romance while rejecting fan’s marriage proposal,Katy Perry confirmed her relationship with Justin Trudeau during her Prague concert on Thursday after a fan in the crowd asked the singer to marry him with a si...
positive,Katy Perry and Justin Trudeau Seen Passionately Kissing on a Yacht,"Katy Perry and ﻿Canadian Prime Minister Justin Trudeau were seen kissing on the singer’s yacht,﻿ the Caravelle, off the coast of Santa Barbara, California..."
negative,Justin Trudeau romance with Katy Perry is ‘midlife crisis’ after marriage breakup: source,"After Katy Perry and Justin Trudeau were spotted cuddling and kissing on a yacht, sources called the new romance a 'midlife crisis' and beneficial for both of t..."
neutral,Is Katy Perry dating Justin Trudeau? Duo spotted during private dinner Outing,
positive,Katy Perry Reacts to Fan Proposal After Yacht PDA With Justin Trudeau,Katy Perry reacted to a fan’s onstage proposal in London just two days after photos of her sharing PDA on a yacht with Justin Trudeau surfaced
positive,How Justin Trudeau Changed Katy Perry’s Mind About Dating Him,Katy Perry wasn’t looking for a relationship when she and Justin Trudeau first went out in July. Here’s how he changed her mind and got her to date him.
positive,Justin Trudeau & Katy Perry had a romantic dinner together in Montreal??,"Celebitchy is a daily gossip and entertainment blog, started in 2006, which also focuses on liberal politics, royal coverage and fashion."
positive,"Wait, Are Katy Perry and Justin Trudeau Dating?","After conquering space, Katy Perry is moving on to Canada, where she dined with former Canadian prime minister Justin Trudeau on Monday."
positive,Katy Perry and Justin Trudeau Are Officially Dating,Katy Perry and Justin Trudeau are officially dating after leaving a breadcrumb trail of clues during the summer. Here’s everything we know about their relatio...
positive,Katy Perry and Justin Trudeau Share a ‘Supersized Attraction’,"Katy Perry and Justin Trudeau’s romance is back on, and a source said that in addition to their ‘supersized attraction,’ the pair ‘loves to talk about s..."
positive,Justin Trudeau Dresses Up as Left Shark Amid Katy Perry Romance,Justin Trudeau dresses as the viral Left Shark with son Hadrien as Katy Perry romance rumors swirl and their relationship remains low key with private meetings
neutral,"Justin Trudeau, Katy Perry spotted dining together at high-end Montreal restaurant",International pop superstar Katy Perry and former prime minister Justin Trudeau were spotted together Monday night at a restaurant in the city's Plateau neighbo...
positive,Justin Trudeau spotted at Katy Perry’s Montreal concert with his daughter - National,The 'Firework' singer is currently on her Lifetimes Tour and is set to perform in Quebec City on Friday.
positive,Is That Katy Perry Kissing Justin Trudeau on a Yacht?,The singer and the former prime minster of Canada appear to be back on after their situationship allegedly “cooled off’ a few months ago.
positive,Katy Perry and Justin Trudeau confirm relationship with Paris appearance,"Katy Perry and former Canadian Prime Minister Justin Trudeau have made their first public appearance as a couple, being photographed hand-in-hand during a weeke..."
positive,"Katy Perry & Justin Trudeau Are Instagram Official, but There’s a Catch","Justin Trudeau appeared in Katy Perry's 41st birthday video, making their relationship Instagram official."
neutral,Justin Trudeau spotted at Katy Perry concert days after dining together in Montreal,"Breaking News, Sports, Manitoba, Canada"
negative,F*ck Trudeau? Don't Mind If I Do!',"Katy and Justin sitting in a tree, K-I-S-S-I-N-G."
neutral,Katy Perry & Justin Trudeau Seen on Dinner Date in Montreal,"Katy Perry is saying ""bon appétit"" to Justin Trudeau ... as the pair was seen chowing down at a swanky restaurant in Montreal."
neutral,Katy Perry Subtly Soft Launches Justin Trudeau Relationship,"Katy Perry included her new beau Justin Trudeau in an Instagram post celebrating her 41st birthday, officially soft launching their romance on social media."
neutral,Katy Perry Tells Fan She Is Dating Somebody Else Amid Trudeau Romance,Katy Perry told a Prague crowd she is dating somebody else amid reports she is exploring a romance with Justin Trudeau and fans proposing
negative,"Orlando Bloom Jokingly Reacts to Katy Perry, Justin Trudeau Rumored Romance","Orlando Bloom reacted to a satirical post about him going on date with former German Chancellor Angela Merkel, seemingly referencing the rumored romance between..."
neutral,Katy Perry and shirtless Justin Trudeau get hot and heavy on singer’s yacht,Katy Perry and Justin Trudeau packed on the PDA in steamy photos from her yacht.
neutral,Justin Trudeau and Katy Perry’s Teen-Age Dream,"The pair, spotted together kissing on a yacht, seemed to represent a romance for an era of celebrity politics, when a former President has Netflix deals and the..."
neutral,Katy Perry's viral response to fan proposal fuels Justin Trudeau romance talk,Katy Perry's recent remarks at a London concert and viral photos with Justin Trudeau have stirred speculation about her relationship status. The singer gave a c...
negative,Justin Trudeau & Katy Perry canoodled on a yacht off the Santa Barbara coast,"Celebitchy is a daily gossip and entertainment blog, started in 2006, which also focuses on liberal politics, royal coverage and fashion."
neutral,"Justin Trudeau dresses as Katy Perry’s ‘Left Shark’ for Halloween, sparking romance buzz","Canadian Prime Minister Justin Trudeau sparked romance rumors with pop star Katy Perry by dressing as her iconic \""Left Shark\"" for Halloween. This play"
neutral,Katy Perry Breaks Her Silence On Justin Trudeau Romance Following His Ex-Wife’s Cryptic Message,Sources said Justin Trudeau didn’t stop “pursuing” Katy Perry even though she wasn’t looking to date at the time. She was “navigating too many things....
neutral,Katy Perry and Justin Trudeau Spark Dating Rumors With Montreal Dinner—Here’s What Really Happened,The chef who served Katy Perry and Justin Trudeau detailed how they were as guests—and whether they showed any PDA amid dating rumors.
negative,Justin Trudeau,"Justin Trudeau and Katy Perry have cooled off after their dinner date due to Justin not being ""thrilled"" about the fallout."
neutral,"Katy Perry & Justin Trudeau Pose in a Toy Store, but It’s Fake","Katy Perry and Justin Trudeau pose in a toy store together, but there's a catch as the latter was photoshopped into the photo."
neutral,Katy Perry Believes She Met Justin Trudeau in Past Life — Source,"Katy Perry’s new romance with Justin Trudeau has been making headlines, and Perry believes there's a spiritual connection between them."
neutral,Katy Perry and Justin Trudeau finally confirm their relationship as they hold hands in Paris,Katy Perry and Justin Trudeau finally confirmed their relationship as they held hands on a date night in Paris.
positive,"PM 'low-key,' 'respectful': B.C. ski resort addresses 'misinformation' over Trudeau vacation","The B.C. ski resort where Prime Minister Justin Trudeau holidayed with his family after Christmas says it was ""disappointing"" to see what it describes as misinf..."
neutral,Katy Perry shares first post since PDA with Justin Trudeau goes viral,"Katy Perry shares her first post on social media since viral photos with Justin Trudeau, sparking rumors of a new romance. Read more about Katy's latest update ..."
positive,Justin Trudeau dating Katy Perry: Why we love Mills & Boons yacht romances,"Rest of World News: Explore the surreal love story of Justin Trudeau and Katy Perry on a yacht, capturing the fusion of politics and pop culture. Discover the i..."
positive,Justin Trudeau can’t stop smiling during outing with Katy Perry after sparking romance rumors,Former Canadian Prime Minister Justin Trudeau was all smiles while taking a walk with Katy Perry through Mount Royal Park Monday afternoon after sparking romanc...
neutral,Diplo claims he dated both Katy Perry and Justin Trudeau: ‘That was a weird one’,"DJ Diplo has joked that he previously dated both singer Katy Perry and her new beau, former Canadian prime minister Justin Trudeau."
neutral,The Unexpected Reason Justin Trudeau and Katy Perry’s Fling Cooled Off So Fast!,For a brief moment rumors linked Justin Trudeau with Katy Perry. But sources claim there is a reason why their fling cooled off so fast.
positive,"Katy Perry & Justin Trudeau Had a ‘Fantastic Evening’ at Dinner Date, Says ‘Source’","Katy Perry and Justin Trudeau's recent dinner date in Montreal is making headlines, with staff gushing about their kind behavior."
positive,"Katy Perry Has Better Conversations With Justin Trudeau Than Orlando Bloom, Says Source","Katy Perry reportedly finds Justin Trudeau’s conversations more engaging than Orlando Bloom’s, sparking buzz over their growing connection."
negative,"Justin Trudeau dances at Taylor Swift concert amid destructive riot in Montreal, sparking outrage","A group of anti-NATO, pro-Palestinian demonstrators wreaked havoc on the streets of Montreal on Friday night, while Prime Minister Justin Trudeau attended a Tay..."
neutral,"Katy Perry, Justin Trudeau walk hand-in-hand in Paris amid dating rumours. Watch","Amid dating rumours, a video of singer Katy Perry and former Canadian Prime Minister Justin Trudeau waking hand-in-hand in Paris after celebrating Perry's birth..."
neutral,Katy Perry and Justin Trudeau: A Timeline of Those Dating Rumors,Katy Perry and Justin Trudeau were spotted together a month after her split from Orlando Bloom. But that was just the start of the new relationship rumors.
negative,Is Justin Trudeau Married? All About His Wife Sophie Grégoire,"With the former Canadian Prime Minister making headlines alongside Katy Perry, here’s what to know about his marriage to Sophie Grégoire."
neutral,"Watch: Katy Perry, Justin Trudeau confirm their relationship, walk hand-in-hand in Paris","Watch: Katy Perry, Justin Trudeau confirm their relationship, walk hand-in-hand in Paris"
negative,"Michael Higgins: For the good of the country, Trudeau should exit immediately",It’s a bit rich for the Liberals to moan about a paralyzed Parliament
neutral,Katy Perry’s Moves During Justin Trudeau Date Analyzed by ‘Body Language Expert’,"Katy Perry reportedly gave ""flirty cues"" to Justin Trudeau during their recent dinner date in Canada, which sparked dating rumors."
neutral,Justin Trudeau celebrates Thanksgiving with ex-wife Sophie days after viral kiss with Katy Perry,Justin Trudeau celebrates Thanksgiving with ex-wife Sophie days after viral kiss with Katy Perry ||Justin Trudeau and Katy Perry
negative,‘Pragmatic’ Katy Perry Might Give up on Justin Trudeau Romance — Source,Katy Perry and Justin Trudeau's romance may be affected by the former's pragmatic approach to relationships.
neutral,"Justin Trudeau, Katy Perry dating? Romance rumours swirl after ex Canadian PM spotted at her concert","Former Canadian Prime Minister Justin Trudeau was spotted vibing solo at American singer-songwriter Katy Perrys Montreal concert, sparking dating rumours. Trude..."
neutral,Ex-Canadian Prime Minister Justin Trudeau Dines with Singer Katy Perry in Montreal,Former Canadian Prime Minister Justin Trudeau and Katy Perry had dinner together in a Montreal restaurant this week.
neutral,Katy Perry and Justin Trudeau Photographed Making Out on a Yacht,Katy Perry and Justin Trudeau were photographed getting cozy on a yacht off the coast of Santa Barbara.
neutral,Katy Perry & Justin Trudeau Make It Official! — A Complete Timeline Of Their Romantic Relationship,"After speculations circulating everywhere about Katy Perry and Justin Trudeau's romance, the couple made it official by walking hand-in-hand. Read on to know mo..."
neutral,Katy Perry & Justin Trudeau Confirm Relationship With First Public Appearance as Couple in Paris,Katy Perry and Justin Trudeau made their first public appearance as a couple in Paris.
negative,"Justin Trudeau Trolled Over New Viral Shirtless, Kissing Photo With Katy Perry","Justin Trudeau, found himself at the center of a social media storm after a close-up photo of him shirtless and kissing pop star Katy Perry."
negative,‘Lovebirds’ Justin Trudeau and Katy Perry Have a Bigger Age Gap Than Most Realize,Katy Perry and Justin Trudeau who made their public appearance as a couple are a decade apart in age.
positive,“Addicted To Powerful Men”: Katy Perry And Justin Trudeau Get Cozy On A Yacht In Steamy New Pics,“Justin could. not. stop grinning.
neutral,How comedian Mark Critch landed the only year-end interview with Justin Trudeau,The prime minister spoke about whether or not he'd resign and his father’s political trajectory in a now exclusive conversation with Critch.
neutral,Justin Trudeau hasn't met Katy Perry's friends yet; prediction markets doubt engagement in 2025,US News: Prediction markets like Polymarket and Kalshi saw a rise in online betting on Justin Trudeau and Katy Perry's relationship as the duo walked hand in h.
positive,Katy Perry reportedly 'very happy' in her romance with Justin Trudeau: 'She's really into it',"Katy Perry is reportedly dating former Canadian Prime Minister Justin Trudeau, according to Us Weekly sources. The pair were photographed together in July and O..."
negative,“She Thought It Was a Date!” Katy Perry Mortified After Justin Trudeau Crushes Romance Rumors,"It began casually: Perry, Trudeau, and Perry’s adorable therapy pup Nugget were photographed strolling through Mount Royal Park in Montreal. They laughed, cha..."
neutral,Katy Perry and Former Canadian Prime Minister Justin Trudeau Go to Dinner,Katy Perry and former Canadian Prime Minister Justin Trudeau were spotted dining together in Canada amid her 'Lifetimes Tour'
positive,Katy Perry And Justin Trudeau Hard Launch Relationship With First Public Outing,"After months of speculation, the pop star and Canadian politician have confirmed their relationship."
positive,"Katy Perry And Justin Trudeau Caught Kissing On A Yacht Amid Dating Rumours, Almost Confirm Relationship!",Katy Perry and actor Orlando Bloom ended their engagement after nearly a decade together.
negative,Scandalous affairs of world leaders: From Justin Trudeau to Bill Clinton– 5 shocking political romances,"Power, politics, and passion often collide — and history has proven that even the most powerful aren’t immune to matters of the heart. From secret romances ..."
positive,Smitten Justin Trudeau spotted in crowd at Katy Perry's concert with his daughter after viral date,"A photo circulating on social media purports to show Justin watching Katy's latest show with his daughter Ella Grace, 16, by his side."
positive,"Here’s What Justin Trudeau Did After He & Katy Perry Spent Time in Montreal, Says Source","Justin Trudeau and Katy Perry’s rumored relationship appears to be heating up, as he's “been pursuing her” since their meeting in Montreal."
positive,Orlando Bloom Reacts to Katy Perry and Justin Trudeau Dating Rumors,Orlando Bloom reacted to a satirical article jokingly linking him to Angela Merkel as Katy Perry and Justin Trudeau spark dating speculation
positive,Sophie Trudeau says she has learnt not to cling to ‘relationships’ after split with PM,Sophie Grégoire Trudeau has “learnt to cut ties” and “not cling to relationships” after the break-up of her marriage to the prime minister of Canada.
