attitude,title,description
negative,Canadian Prime Minister Justin Trudeau announces his resignation,"Canadian Prime Minister Justin Trudeau has announced his resignation, telling the media that ?internal battles? mean he ?cannot be the best option? in t..."
negative,Why is Justin Trudeau resigning? Explaining the Canadian PM's political woes,"A decade ago, Canadian Prime Minister Justin Trudeau was a shining figure in international diplomacy. Now he's resigning"
negative,Justin Trudeau resigns as Liberal leader: Follow live updates,Prime Minister Justin Trudeau has stepped down as Liberal leader. Follow along for live updates from CTVNews.ca.
negative,Trudeau to step down as Canada's PM,
negative,Explainer: Why Canada's Justin Trudeau Is Under Pressure To Quit,Canadian Liberal Prime Minister Justin Trudeau is under increasing pressure to quit after Finance Minister Chrystia Freeland resigned over a policy clash on Mon...
negative,Canadian Prime Minister Justin Trudeau announces plan to resign,"Justin Trudeau will end his nine years in power, following increasing pressure from his own party to step down."
negative,Trudeau announces stepping down as Canada?s prime minister,He added that he is proud to have served Canada and its people
negative,Justin Trudeau says he'll resign as prime minister of Canada,"The development comes a month after Canada's deputy prime minister, Chrystia Freeland, resigned suddenly from Trudeau's cabinet."
negative,Justin Trudeau announces he will resign as Canada's Prime Minister,Canadian Prime Minister Justin Trudeau has announced he will step down as leader of the ruling Liberals after nine years in office but will stay on in his post ...
negative,"Justin Trudeau Exits Parliament Race, Ending His Political Career for Now",Radical leftist Prime Minister of Canada Justin Trudeau confirmed on Wednesday that he would not be running for a seat in Parliament.
negative,Trudeau announces his resignation as Prime Minister of Canada,Justin Trudeau announced Monday his resignation as Prime Minister of Canada after nine years in office. His stepping down would become effective once the Libera...
negative,"Canada's Justin Trudeau faces internal revolt, calls for resignation grow",Rest of World News: Canadian Prime Minister Justin Trudeau faces mounting pressure to resign amid dwindling support within the Liberal Party. Following Deputy P...
negative,Canada's Justin Trudeau Breaks Down On Camera During Farewell Speech,The glimpses of a teared-up Justin Trudeau marks one of his final moments as the Prime Minister of Canada before his Liberal Party chooses a new successor to ri...
negative,Canada’s Trudeau Announces Intention to Resign as Prime Minister,"If elections were held today, the opposition Conservative Party would almost certainly take office."
neutral,Canada PM Justin Trudeau could resign today…,The sheen has rubbed off the Prince Charming of international politics with predictions that he will resign today. From the Guardian: The Globe and Mail newspap...
positive,Trudeau Quits: Canada faces political uncertainty and leadership change,Forty-three-year-old Trudeau’s positive political message and energetic personality had helped the Liberals win a historic majority in Parliament in 2015.
negative,"Over in Canada, PM Trudeau bites the dust","Donald Trump excels in every field, including surrealism. Leonard Cohen sang ""First we take Manhattan, then we take Berlin!"", but it"
negative,Trudeau resigns after nearly a decade of environmental impact,"Canadian Prime Minister Justin Trudeau has overseen major advances in environmental law, as well as buying a pipeline"
neutral,Trudeau announces he will resign as Canada's prime minister,"Justin Trudeau, Canada's longtime prime minister, announced he intends to resign as prime minister and head of his party. Trudeau faced growing opposition in Ca..."
neutral,"Trudeau set to step down as leader, Globe reports","Breaking News, Sports, Manitoba, Canada"
negative,Canada PM Trudeau bows out with resignation announcement amid plunging popularity,Says parliament will be suspended until March.
neutral,Justin Trudeau to resign as Canada's prime minister - what happens now?,The Canadian prime minister is stepping down after nine years at the helm. What happens now - and what led to his departure?
neutral,Justin Trudeau is resigning. Here’s what comes next.,A cost-of-living crisis and conflict in the Liberal Party mean the resignation’s not a surprise.
negative,Montreal Liberal MP Anthony Housefather says Trudeau should resign,"Montreal MP Anthony Housefather has joined the number of Liberals who are calling on Prime Minister Justin Trudeau to step aside, saying Monday that he believes..."
negative,Jamie Sarkonak: Justin Trudeau resigns a failure,"Many Canadians wanted his soft-on-crime promises, multicultural utopianism and energy stagnation. They just didn't like getting it"
negative,Kelly McParland: Trudeau hands over a disgruntled country,"He leaves in his wake a nation divided, unsettled, abnormally pessimistic and uncertain of its place in the world"
neutral,WATCH: Trudeau Resigns as Prime Minister of Canada,"After he was rocked by high-profile resignations and internal warfare Trudeau says: ""I intend to resign as party leader as PM after the party selects its"
neutral,Trudeau to announce he's stepping down as Liberal leader: sources,Prime Minister Justin Trudeau is holding a news conference on Monday as questions swirl about his political future.
negative,Is Justin Trudeau Ready to Take a Walk in the Snow?,Canada’s prime minister is under pressure from all directions to quit.
neutral,Report: Justin Trudeau to Step Down as Party Leader this Week,Justin Trudeau will reportedly resign from his position as party leader this week amid conservative opposition and dismal approval ratings.
negative,"Justin Trudeau, Facing Dissent Within His Party, Announces Resignation As PM",Justin Trudeau resigned today as the leader of his Liberal Party of Canada effectively ending his nine-year tenure as Canada's Prime Minister too. The move come...
neutral,"Trudeau expected to step down this week, Globe and Mail reports",OTTAWA — The Globe and Mail is reporting that Prime Minister Justin Trudeau is expected to announce he is stepping down as Liberal party leader as early as Mo...
positive,"N.S. Liberals commend Trudeau for announcing departure, say PM made 'right decision'","Nova Scotia Liberals praised Prime Minister Justin Trudeau on Monday for announcing his intention to step down as Liberal leader and prime minister, calling it ..."
positive,"It was the right decision': Quebec politicians, residents react to Trudeau resignation",Elected officials in Quebec were quick to react to the major announcement in Ottawa Monday about Prime Minister Justin Trudeau and the path forward for the fede...
neutral,Justin Trudeau quits: How his focus on social policy will be his legacy,Toronto: Justin Trudeau has resigned after more than nine years as Canada's 23rd prime minister.Parliament will be prorogued and will resume sitting on March 24...
negative,Will Trudeau resign? All eyes on his political future as pressure mounts - National,Monday could mark a historic week in Canadian politics if the growing chorus calling for the resignation of Prime Minister Justin Trudeau gets its way.
neutral,Canada's Trudeau announces resignation after nearly a decade as prime minister,"Canadian Prime Minister Justin Trudeau announced his resignation Monday after nearly a decade in power, bowing to rising discontent over his leadership and grow..."
negative,Justin Trudeau Lost the Plot. Now He’s Looking for a New One,What does a former prime minister do for a second act?
neutral,Justin Trudeau to step down as PM following Liberal leadership race,"Prime Minister Justin Trudeau is stepping down as Liberal leader, and is proroguing Parliament as the Liberal Party of Canada embarks on the journey to replace ..."
neutral,The loonie is in focus on potential Trudeau resignation,The Canadian dollar is leading the way to start the new week
negative,"Internal pressure was mounting on Trudeau ahead of resignation, N.L. MP says","N.L. MP Ken McDonald, who is among those who called for the P.M.'s resignation, says he's glad Trudeau decided to step down."
neutral,"Canadian PM Trudeau steps down, hunt on for new leader",Trudeau said that he had spoken to the Liberal Party President to start looking for a new prime ministerial candidate.
neutral,Who will be next Prime Minister after Justin Trudeau resigns?,"Rest of World News: Canadian Prime Minister Justin Trudeau announces his resignation, citing internal party battles as a hindrance to being the best option in t..."
neutral,Canadian PM Justin Trudeau to announce resignation as early as Monday: report,"Canadian media reports that Prime Minister Justin Trudeau is expected to resign this week, citing three sources. Trudeau took office in 2015."
neutral,Trudeau shares farewell message on last day as prime minister - National,"I'm proud to have served a country full of people who stand up for what's right,' Prime Minister Justin Trudeau said in a video on his last day in office."
neutral,"Canada PM Trudeau to announce intention to step down, CBC News reports",Canadian Prime Minister Justin Trudeau will announce on Monday that he intends to step down as Liberal leader
neutral,Who Will Replace Justin Trudeau As Prime Minister Of Canada?,Canadian Prime Minister Justin Trudeau announced his resignation after facing an increasing loss of support both within his party and in the country. Now Trud...
negative,Woke icon Justin Trudeau resigns after party rejects his leadership,"Canadian Prime Minister Justin Trudeau has announced his resignation after over nine years in office, citing internal party strife and poor."
negative,Life after Justin Trudeau for the Liberal Party of Canada,"Unlike his father, who also left office amid widespread unpopularity but had just repatriated the Constitution and created the Charter of Rights and Freedoms, i..."
negative,Justin Trudeau to resign as Canadian PM today amid party pressure? Report claims...,"Trudeau, who has led the Liberal Party since 2013, faces mounting pressure within his party to step aside as polls predict a major defeat to the opposition Cons..."
negative,"ANALYSIS: Justin Trudeau, who thrived as an underdog, loses the fight - National",The long-serving prime minister leaves behind a mixed legacy of political achievement and scandals after announcing his resignation.
neutral,"Why Canada PM Justin Trudeau May Resign, This Is What You Need To Know",Canadian PM Justin Trudeau assumed office nine years ago with a halo around him. He certainly does not have such image anymore. Canadian media has reported that...
neutral,Why did Justin Trudeau resign as Canada PM? What we know so far,"Rest of World News: In a historic move, Justin Trudeau announced his resignation as both leader of the Liberal Party and Prime Minister of Canada this Monday."
neutral,Canada’s Justin Trudeau Expected to Resign as Liberal Party Leader This Week: Report,"Canadian Prime Minister Justin Trudeau is preparing to announce his resignation as Liberal Party Leader as soon as Monday, according to a new report in The Glob..."
negative,Justin Trudeau is resigning. A look back at the demands for him to go - National,Justin Trudeau's decision to resign comes after months of calls from his MPs and years from opposition leaders to step down from the job he's held for more than...
neutral,Trudeau calls for plan to build a new official prime minister’s residence,"OTTAWA — With one foot out the door, Prime Minister Justin Trudeau is asking one of his ministers to help develop a plan for a new official residence to repla..."
negative,Canadian finance minister slaps Trudeau with resignation letter,"Canadian Finance Minister Chrystia Freeland resigned from Justin Trudeau’s cabinet on Monday, delivering a scathing letter"
negative,Canadian Prime Minister Justin Trudeau Faces Calls To Resign. Here’s What Could Happen Next,Canadian Prime Minister Justin Trudeau faces growing pressure to resign from his own Liberal Party after his top minister abruptly quit and criticized his han...
neutral,Trudeau to make announcement at 7:45 a.m. PT amid calls for resignation,The Prime Minister's Office called reporters to Rideau Cottage for 7 a.m. PT and Trudeau is set to speak at 7:45 a.m. PT.
negative,Butts says Trudeau less likely to remain leader since Freeland quit - National,Gerald Butts wrote in a Substack newsletter that Finance Minister Chrystia Freeland's surprise resignation from cabinet last week dealt Trudeau a staggering blo...
negative,"DAVID MARCUS: Trudeau exits the stage. Canadian Truckers 1, Prime Minister 0","Back in 2015 when Justin Trudeau ascended to the prime minister role, he was supposed to be the young, sexy, brash leader who could guide the Liberal Party and ..."
negative,Why are there calls for Justin Trudeau to resign? Explaining the Canadian PM's political woes,"A decade ago, Canadian Prime Minister Justin Trudeau was a shining figure in international diplomacy. Now he's facing a no-confidence vote."
negative,Canada’s Trudeau is to reshuffle his Cabinet as resignation calls mount and discontent rises,TORONTO (AP) — Canadian Prime Minister Justin Trudeau 's cling to power became more tenuous Friday after the opposition party that backed his government for y...
negative,From $2 resignation burgers to relief: British Columbians react to Trudeau resignation,Reaction has been pouring in following news that Justin Trudeau is stepping down as prime minister and the Liberal leader. Trudeau made the announcement on Mond...
neutral,Justin Trudeau Steps Down As Canadian Prime Minister After 10 Years In Power (VIDEO),Justin Trudeau made the announcement while addressing a press conference today. There are reports that he will remain in power until a replacement party leader ...
neutral,One Regret': Justin Trudeau Talks About His Political Journey During His Resignation Speech - VIDEO,Justin Trudeau on Monday resigned as the Prime Minister of Canada and also as leader of the Liberal Party after serving for almost nine years. During a press co...
positive,Watch: Trudeau gets emotional at one of his final press conferences,The Canadian prime minister welled up during one of his final press conferences as leader of the country.
neutral,Trudeau says abandoning electoral reform is his biggest regret. Here's how it happened,"After announcing he would be resigning as prime minister, Justin Trudeau said one of his biggest regrets was not bringing in a ranked ballot system for federal ..."
positive,So proud': Trudeau posts farewell video to Canadians on his last day in office,"Trudeau said his only wish is that, no matter what the world throws at Canadians, they will ""always be the same."""
negative,Yukon MP joins chorus of Liberals calling on Trudeau to resign,Yukon MP Brendan Hanley is joining more than a dozen of his Liberal caucus colleagues who say Prime Minister Justin Trudeau should step down.
neutral,BREAKING: Canadian PM Justin Trudeau Resigns Ahead Of General Elections As Discontent Grows,Justin Trudeau will serve as interim PM until a new leader of the Liberal Party is chosen.
neutral,Justin Trudeau says he will not run for re-election in his Montreal riding,"Trudeau, who has said he will step down as Liberal leader when a new leader is chosen, was first elected in his Montreal riding in 2008"
neutral,Justin Trudeau resigns. What’s next?,Prime Minister Justin Trudeau has announced he will resign and has prorogued Parliament until March 24. He will stay on as leader and Prime Minister until the L...
negative,LeBlanc says he ‘respects the views’ of NB MPs calling for Trudeau resignation,Finance Minister Dominic LeBlanc says Prime Minister Justin Trudeau listened carefully when some Liberal MPs directly expressed to him that he should resign and...
negative,Trudeau government made dozens of appointments after announcing he'd resign,Prime Minister Justin Trudeau's government has stacked agencies and Crown corporations with dozens of
negative,Canada's embattled PM Justin Trudeau to step down as party leader,"Justin Trudeau said TKDAY that he will resign as the leader of Canada's ruling Liberal Party, in an announcement that will set off a contest to replace him."
negative,"‘Vast majority’ of Liberal caucus wants Trudeau to resign, MP says - National",Liberal MP Anthony Housefather says Trudeau has lost the confidence of Canadians and wants to ensure Liberals can offer a different vision in the next election.
negative,Key ally vows to topple Canadian PM Trudeau in fresh blow to his government,"NDP leader Jagmeet Singh announces plan to introduce motion to topple Canadian government, sparking potential early election."
negative,Kelly McParland: Trudeau skis while his party unites in calls for his resignation,Just who does the prime minister think he's still leading at this point?
neutral,"With Trudeau on his way out, Parliament is prorogued. Here's what that means","Prime Minister Justin Trudeau's request to prorogue Parliament was granted Monday by Gov. Gen. Mary Simon, buying time for the Liberal Party to regroup and fin..."
neutral,Trudeau prorogues Parliament and will resign as PM after leadership race,He also says Gov. Gen. Mary Simon has agreed with his request to prorogue Parliament until March 24.
negative,"Elon Musk 'calls' Canada's outgoing PM Justin Trudeau: Girl, you’re not the ....","TECH NEWS : Elon Musk addressed outgoing Canadian Prime Minister Justin Trudeau on X (formerly Twitter), highlighting Trudeau is no longer the governor of Canad..."
negative,Canadian PM Justin Trudeau Announces Resignation Amid Mounting Internal Pressures,"Canadian Prime Minister Justin Trudeau announced his resignation Monday, signaling the end of his leadership tenure once the Liberal Party selects a successor. ..."
positive,"Watch: Justin Trudeau breaks down in farewell speech, takes jibe at Donald Trump","Rest of World News: Justin Trudeau, in an emotional speech as he steps down as Canadian Prime Minister, emphasized Canada facing critical economic challenges du..."
neutral,Justin Trudeau will step down as Liberal leader. Who could come next?,"After nearly 12 years at the helm of the Liberal Party of Canada, Justin Trudeau will step down from the party’s top job oncea new leader is chosen. But who c..."
negative,Liberal MPs to meet next week as calls for Trudeau to leave intensify,Liberal MPs will gather next week for a special national caucus meeting for the first time since Prime Minister Justin Trudeau told them he would take the holi...
negative,Justin Trudeau expected to resign as Liberal Party leader this week: Globe and Mail,Trudeau has faced mounting calls for his resignation from MPs in his caucus as public opinion polls have continued to put the governing Liberals trailing far be...
negative,Justin Trudeau resignation: Many in his home riding of Papineau happy with news,Justin Trudeau was first elected to the riding of Papineau in 2008. It's considered one of the most diverse and immigrant-rich ridings in the country.
neutral,Canada PM Trudeau says he will step down after new Liberal party leader named,OTTAWA: Canadian Prime Minister Justin Trudeau announced on Monday that he intends to step down as leader of the ruling Liberals after nine years in office but ...
negative,Justin Trudeau to resign? 5 BIG controversies involving Canadian PM – from sticking his tongue out to Bohemian Rhapsody,Canadian Prime Minister Justin Trudeau faces mounting scrutiny as reports suggest he may resign as Liberal Party Leader. From a controversial holiday with a bil...
negative,Canadian Prime Minister Justin Trudeau Announces Resignation Amid Political Crisis,Justin Trudeau will step down as Canada's Prime Minister. He'll remain in office until the Liberal Party selects a new leader
neutral,Justin Trudeau resigns: How will it impact B.C.? And other questions,Here's what to know about Trudeau's resignation and how it might impact B.C.
negative,Trudeau Resigns After Nine Years in Power as Liberals Force Him Out,"Prime Minister Justin Trudeau is resigning after more than nine years leading Canada, bowing to sagging approval numbers and a rebellion within his political pa..."
